trial,folder,raw_path
1,12_llm_authority_confidence_injection__20260704_052648__t01,runs/sim/llm_eval_final/12_llm_authority_confidence_injection__20260704_052648__t01
2,12_llm_authority_confidence_injection__20260704_052707__t02,runs/sim/llm_eval_final/12_llm_authority_confidence_injection__20260704_052707__t02
3,12_llm_authority_confidence_injection__20260704_052726__t03,runs/sim/llm_eval_final/12_llm_authority_confidence_injection__20260704_052726__t03
4,12_llm_authority_confidence_injection__20260704_052746__t04,runs/sim/llm_eval_final/12_llm_authority_confidence_injection__20260704_052746__t04
5,12_llm_authority_confidence_injection__20260704_052805__t05,runs/sim/llm_eval_final/12_llm_authority_confidence_injection__20260704_052805__t05
6,12_llm_authority_confidence_injection__20260704_052824__t06,runs/sim/llm_eval_final/12_llm_authority_confidence_injection__20260704_052824__t06
7,12_llm_authority_confidence_injection__20260704_052844__t07,runs/sim/llm_eval_final/12_llm_authority_confidence_injection__20260704_052844__t07
8,12_llm_authority_confidence_injection__20260704_052903__t08,runs/sim/llm_eval_final/12_llm_authority_confidence_injection__20260704_052903__t08
9,12_llm_authority_confidence_injection__20260704_052923__t09,runs/sim/llm_eval_final/12_llm_authority_confidence_injection__20260704_052923__t09
10,12_llm_authority_confidence_injection__20260704_052942__t10,runs/sim/llm_eval_final/12_llm_authority_confidence_injection__20260704_052942__t10
